max_avg_over_ch_crosscor,pre/post_cue,cued/uncued_tag
40.06429688962647,postcue,cued
45.6698512025715,postcue,cued
59.21040845434908,postcue,cued
46.73071739150172,postcue,cued
43.882668696675005,postcue,cued
44.68876485959634,postcue,cued
49.12047057517339,postcue,cued
45.97324365417072,postcue,cued
39.87293775511868,postcue,cued
34.601704347833675,postcue,cued
38.06373805981835,postcue,cued
46.22043431482004,postcue,cued
36.963483532040925,postcue,cued
49.586369225498366,postcue,cued
42.52785615785072,postcue,cued
44.010095881618014,postcue,cued
44.87642779334677,postcue,cued
45.94962943925168,postcue,cued
54.168555367946105,postcue,cued
48.22230585894127,postcue,cued
43.18912930495105,postcue,cued
56.76213169711813,postcue,cued
41.964965305888555,postcue,cued
47.097621081401705,postcue,cued
48.6446336554724,postcue,cued
43.198817399735056,postcue,cued
49.271888881960585,postcue,cued
49.35046572483017,postcue,cued
58.36550212916623,postcue,cued
46.84563752725009,postcue,cued
42.09380730703952,postcue,cued
56.540035822080284,postcue,cued
36.864564860206826,postcue,cued
45.46717184022342,postcue,cued
47.44861154389031,postcue,cued
44.13031804595897,postcue,cued
53.99241051702907,postcue,cued
59.80940285970701,postcue,cued
36.64131198937202,postcue,cued
47.56293515904934,postcue,cued
51.88862240480774,postcue,cued
45.448046121159216,postcue,cued
50.4426059186514,postcue,cued
47.666285901980785,postcue,cued
49.609285569309264,postcue,cued
38.13134809976824,postcue,cued
52.62816899939165,postcue,cued
53.21080615582065,postcue,cued
52.816957814126084,postcue,cued
39.009751653831906,postcue,cued
41.643283957334575,postcue,cued
55.88475943706109,postcue,cued
40.6404987176538,postcue,cued
42.11289904325164,postcue,cued
39.71753315293751,postcue,cued
31.443446952123647,postcue,cued
50.88107789612337,postcue,cued
47.057654034303795,postcue,cued
45.88812997322529,postcue,cued
46.87584669934595,postcue,cued
49.059611999683646,postcue,cued
53.79377354724906,postcue,cued
47.266529679763494,postcue,cued
45.256243832321765,postcue,cued
41.15683590529758,postcue,cued
46.01375336132471,postcue,cued
44.444471663076094,postcue,cued
43.53834747110634,postcue,cued
48.73147858350175,postcue,cued
43.44556495072671,postcue,cued
44.821586159816825,postcue,cued
47.27575700656305,postcue,cued
36.575868001695646,postcue,cued
63.50609863814582,postcue,cued
37.469339836214395,postcue,cued
48.93098099091933,postcue,cued
42.02633277360357,postcue,cued
48.362748602423245,postcue,cued
38.825597151443624,postcue,cued
38.33345612756171,postcue,cued
39.092946004601934,postcue,cued
45.88365771114615,postcue,cued
60.33295084177379,postcue,cued
48.74490592139407,postcue,cued
39.45783030672808,postcue,cued
38.776915477569815,postcue,cued
59.07422588088937,postcue,cued
50.342518966547054,postcue,cued
48.7305717943541,postcue,cued
41.486029166503855,postcue,cued
54.53167173754715,postcue,cued
44.83475667426547,postcue,cued
36.621434139450606,postcue,cued
46.75354035477684,postcue,cued
46.941718611746104,postcue,cued
41.3741541381849,postcue,cued
59.061075675094266,postcue,cued
49.63499112504845,postcue,cued
41.79303849608272,postcue,cued
53.180866194082036,postcue,cued
38.802915524908855,postcue,cued
41.58514872020928,postcue,cued
44.87573077189174,postcue,cued
42.343013931895435,postcue,cued
51.03663927618731,postcue,cued
45.404696913474574,postcue,cued
47.24229122773172,postcue,cued
42.74772785962487,postcue,cued
38.49392187559167,postcue,cued
50.18756612418188,postcue,cued
60.13198108053533,postcue,cued
43.51452217739358,postcue,cued
40.68521583818079,postcue,cued
56.06734523198397,postcue,cued
44.24584903855342,postcue,cued
49.46442817756171,postcue,cued
39.509146300109116,postcue,cued
38.164780842410714,postcue,cued
51.69814939926269,postcue,cued
51.52604098528102,postcue,cued
49.23680670998068,postcue,cued
33.916481668282486,postcue,cued
41.543946257240314,postcue,cued
43.084407624701704,postcue,cued
51.56766791587347,postcue,cued
50.80218311237675,postcue,cued
71.39541231940917,postcue,cued
43.557375416952816,postcue,cued
55.94744617675948,postcue,cued
42.52248078052234,postcue,cued
45.706598311369795,postcue,cued
41.02471504256476,postcue,cued
53.96619337358192,postcue,cued
40.15701384522338,postcue,cued
45.54951862744911,postcue,cued
41.151635479912045,postcue,cued
58.754584296121955,postcue,cued
37.909930294057794,postcue,cued
41.2514784223443,postcue,cued
45.61839615448452,postcue,cued
36.25978430769042,postcue,cued
36.08245259073672,postcue,cued
49.09576740424771,postcue,cued
50.16386059454862,postcue,cued
43.87831278064425,postcue,cued
46.8869744671832,postcue,cued
41.903504247459466,postcue,cued
49.120979938983346,postcue,cued
43.64032242640016,postcue,cued
51.257436116997276,postcue,cued
55.86378907248453,postcue,cued
52.85707801321927,postcue,cued
53.43700045508283,postcue,cued
46.34392025724554,postcue,cued
42.66826541060547,postcue,cued
42.09027907101334,postcue,cued
44.28128127326798,postcue,cued
44.036500113791654,postcue,cued
39.306448685373105,postcue,cued
52.111735932294685,postcue,cued
43.234128861069934,postcue,cued
42.39796857462596,postcue,cued
39.38342698275074,postcue,cued
41.04109105164455,postcue,cued
48.86088449136537,postcue,cued
53.72516162437429,postcue,cued
43.27335958361112,postcue,cued
51.51081751491535,postcue,cued
42.789478531513545,postcue,cued
43.57649492764926,postcue,cued
35.005199138683565,postcue,cued
42.12725777173799,postcue,cued
43.18231602949461,postcue,cued
38.02829288390434,postcue,cued
40.94564430924181,postcue,uncued
48.92779067893793,postcue,uncued
44.61411996830994,postcue,uncued
44.64446339151778,postcue,uncued
52.685920761401746,postcue,uncued
46.95540786823807,postcue,uncued
41.69963063697316,postcue,uncued
48.95524484754154,postcue,uncued
56.38048271153179,postcue,uncued
52.15843299244218,postcue,uncued
39.53111261352044,postcue,uncued
42.99249745673658,postcue,uncued
46.725114896276985,postcue,uncued
42.084396716422965,postcue,uncued
38.47415429611538,postcue,uncued
49.719042667828774,postcue,uncued
45.704846920569686,postcue,uncued
43.75594482905877,postcue,uncued
40.294185582047476,postcue,uncued
43.465222928219,postcue,uncued
43.82533957320182,postcue,uncued
46.08397422154591,postcue,uncued
42.128330085273795,postcue,uncued
50.44877502099134,postcue,uncued
53.8973147789527,postcue,uncued
43.59083146481072,postcue,uncued
65.35833743891824,postcue,uncued
44.36277757909289,postcue,uncued
46.70014091602966,postcue,uncued
41.8499309251655,postcue,uncued
54.244938695695815,postcue,uncued
54.35921933965427,postcue,uncued
43.01378022733211,postcue,uncued
47.48608076044257,postcue,uncued
45.507118570652175,postcue,uncued
49.950283905648966,postcue,uncued
57.089113654247576,postcue,uncued
41.77000413567147,postcue,uncued
50.570776807682506,postcue,uncued
47.11296343109973,postcue,uncued
39.70740576811755,postcue,uncued
47.13762783016051,postcue,uncued
63.58205501357239,postcue,uncued
44.17352072229088,postcue,uncued
46.177413223299546,postcue,uncued
50.8663129610498,postcue,uncued
41.05473722437787,postcue,uncued
46.436698762707245,postcue,uncued
53.92639242156443,postcue,uncued
43.50965607012309,postcue,uncued
43.681393826811835,postcue,uncued
41.49838487521296,postcue,uncued
44.49745153135649,postcue,uncued
56.218977608742556,postcue,uncued
44.16149915377338,postcue,uncued
37.95891886202696,postcue,uncued
47.64151147025577,postcue,uncued
40.746732908205054,postcue,uncued
36.77814004178294,postcue,uncued
51.534014969733924,postcue,uncued
40.55906278098304,postcue,uncued
37.71623259274525,postcue,uncued
45.39568018794841,postcue,uncued
34.89949179751885,postcue,uncued
44.82279481168596,postcue,uncued
50.80003326883218,postcue,uncued
35.529831799882174,postcue,uncued
53.90836435616442,postcue,uncued
71.5162889123484,postcue,uncued
46.06364137918863,postcue,uncued
45.649861029982965,postcue,uncued
41.4896504255824,postcue,uncued
55.51164334471881,postcue,uncued
45.799310584110366,postcue,uncued
53.6087664479172,postcue,uncued
53.85076152042393,postcue,uncued
55.95138629283321,postcue,uncued
46.29267525787933,postcue,uncued
46.561398024043484,postcue,uncued
44.374589058915014,postcue,uncued
53.468560685529866,postcue,uncued
42.78209186330906,postcue,uncued
52.79435367857398,postcue,uncued
54.715697341496394,postcue,uncued
56.68225470291254,postcue,uncued
40.55762053919212,postcue,uncued
46.3947795334439,postcue,uncued
43.662330952459854,postcue,uncued
42.97136088036253,postcue,uncued
